child_id,Age,Language,Phrase,Transcript,Pronounciation_Score,Accent/Noise_info
C001,3,English,Good morning,Gud mornin,80,Slight accent
C002,3,English,I love my cat,I lub my cat,70,Background chatter
C003,5,English,Thank you,Tank you,85,Clear
C004,5,English,Can I play now?,Can I pay now,75,Slight accent
C005,4,English,Please help me,Pwease help me,60,Moderate background noise
C006,3,English,This is my toy car,This is my toy cah,90,Clear
C007,3,English,I want a cookie,I want a cookee,80,Clear
C008,3,English,Where is my ball?,Where is my bawl?,85,Slight accent
C009,5,English,My favorite color is red,My favwite colow is wed,65,Slight accent
C010,3,English,Let?s go outside,Wet?s go outside,70,Mild background noise
C011,5,English,I want to go home,I wan' to go home,75,Slight accent
C012,4,English,Can you help me?,Can you hewp me?,65,Mild background noise
C013,3,English,I like to play with my toys,I wike to pway wif my toys,60,Clear
C014,5,English,It is raining outside,It is waining outside,80,Slight accent
C015,3,English,Look at the big dog!,Wook at the big dog!,70,Background chatter
C016,3,English,The sun is shining,The sun is shinin',85,Clear
C017,5,English,Can I have some water?,Can I haf some water?,75,Moderate background noise
C018,5,English,This is a red apple,Dis is a wed appow,65,Slight accent
C019,5,English,Where are we going?,Whewe awe we going?,80,Clear
C020,5,English,I like to jump and run,I wike to jump an' wun,70,Mild background noise
C021,5,English,The sky is blue,The sky is boo,85,Clear
C022,5,English,My teddy bear is soft,My teddy beaw is soft,75,Background chatter
C023,3,English,I am feeling happy,I am feewing happy,80,Clear
C024,3,English,Time to go to bed,Time to go to bed,90,Clear
C025,3,English,I want to eat some fruit,I want to eat some fwuit,65,Slight accent
C026,3,English,The car is fast,The caw is fast,80,Clear
C027,4,English,I have a big ball,I hab a big bawl,70,Mild background noise
C028,3,English,This book is nice,Dis book is nice,75,Slight accent
C029,5,English,Look at the birds in the sky,Wook at the bird in da sky,65,Moderate background noise
C030,4,English,I want to play with my friends,I wan' to pway wif my fwiends,60,Slight accent
C031,3,English,The flowers are pretty,Da flowers awe pwetty,85,Clear
C032,4,English,I am eating my lunch,I am eawing my wunch,75,Background chatter
C033,5,English,Do you want some ice cream?,Do you want some ice cweam?,70,Clear
C034,3,English,I see a red car,I see a wed caw,80,Slight accent
C035,3,English,My favorite color is blue,My favowite cowow is bwoo,85,Clear
C036,5,English,I like to watch cartoons,I wike to watch ca'oons,65,Mild background noise
C037,3,English,The dog is barking,Da dog is bawking,75,Moderate background noise
C038,4,English,I am playing with my blocks,I am pwaying wif my bwocks,70,Background chatter
C039,3,English,This cake is delicious,Dis cake is dewicious,80,Slight accent
C040,3,English,I love my family,I wuv my famiwy,85,Clear
C041,5,English,I am going to the park,I am going to da pawk,75,Clear
C042,5,English,This is my favorite toy,Dis is my favowite toy,80,Slight accent
C043,3,English,I like to draw pictures,I wike to dwaw pictuwes,70,Background chatter
